geoid20_x,FIPS,ShapeSTArea,ShapeSTLength,pop_below_100_pct,pop_below_200_pct,chd_pct,total_pop,snap_rate,Age Total population,Under 18 years,Percent Under 18 years,0-19 years,20 to 44 years,45 to 64 years,65 years and over,Percent 65 years and over,85 years and over,Hispanic or Latino,Percent Hispanic or Latino,Not Hispanic or Latino,geoid20_y
115101,6037115101,41786208.75,26402.17723,8.6780214,11.415247,5.9023561,5031,5.9630294,4678,766,16.4,818,1097,1622,1141,24.4,139,1015,21.7,3663,115101
115103,6037115103,16345329.9,22256.53173,46.666668,100,1.0036496,3037,9.8781691,2725,30,1.1,1515,1202,8,0,0,0,844,31,1881,115103
115202,6037115202,18742318.8,18760.63016,16.236105,32.42524,3.696182,5975,5.0209203,6010,494,8.2,711,2966,1578,755,12.6,56,3011,50.1,2999,115202
115203,6037115203,6509085.23,13182.13953,14.59276,33.408749,4.2166343,2101,4.7596383,2236,255,11.4,265,914,628,429,19.2,47,1134,50.7,1102,115203
115204,6037115204,8295903.275,12905.26722,15.645242,33.607372,4.1968598,3957,2.5271671,3806,596,15.7,768,1625,894,519,13.6,42,1011,26.6,2795,115204
115301,6037115301,17664625.86,21878.47072,7.6805916,17.232376,5.9049711,4677,4.2762456,4511,901,20,967,1465,1239,840,18.6,153,1130,25,3381,115301
115302,6037115302,9017482.491,12561.94847,23.728813,49.23077,4.6859422,3645,16.460905,3912,1019,26,1102,1425,1079,306,7.8,32,2947,75.3,965,115302
115401,6037115401,20505497.26,20433.09425,16.856306,39.970741,5.1014009,6186,3.2331071,5847,1392,23.8,1575,1748,1709,815,13.9,76,2570,44,3277,115401
115403,6037115403,7574458.016,11112.59698,27.105921,46.927994,4.4976425,3373,11.858879,3477,930,26.7,977,1566,690,244,7,31,2212,63.6,1265,115403
115404,6037115404,10260635.44,13012.07626,14.906185,28.283529,4.5903044,2796,7.1530757,2830,616,21.8,717,1162,718,233,8.2,14,1202,42.5,1628,115404
117101,6037117101,8389682.487,11700.72861,11.876718,25.088339,3.3039649,5130,1.9493177,5252,1365,26,1573,1787,1535,357,6.8,31,2056,39.1,3196,117101
117102,6037117102,11180019.32,13727.98665,9.2867756,28.677563,5.089169,2661,3.7579858,2504,404,16.1,455,919,679,451,18,29,1505,60.1,999,117102
117201,6037117201,8520574.345,13684.25564,26.131357,51.802162,5.4076309,4608,4.3402777,4250,964,22.7,1217,1554,1026,453,10.7,133,2830,66.6,1420,117201
117202,6037117202,19522776.16,18091.28222,6.5371027,15.971731,4.8226953,2840,3.5211267,2853,521,18.3,604,835,749,665,23.3,98,1148,40.2,1705,117202
117302,6037117302,22083821.59,26192.58702,5.9277306,10.982542,5.2951179,4746,8.4281502,4957,1112,22.4,1172,1596,1316,873,17.6,218,1447,29.2,3510,117302
117303,6037117303,19379948.18,18107.47862,13.449621,18.2465,5.2911816,4510,6.6518846,4428,858,19.4,881,1639,1052,856,19.3,84,2417,54.6,2011,117303
117404,6037117404,19003850.09,17700.65266,7.6428571,20.464285,5.10882,5466,3.6589828,5548,1169,21.1,1220,1967,1582,779,14,38,2564,46.2,2984,117404
117405,6037117405,2172354.124,5943.240609,36.114422,67.044098,4.0190148,3406,11.743981,3176,950,29.9,1156,1211,697,112,3.5,2,2886,90.9,290,117405
117407,6037117407,2134618.856,5893.742738,32.883732,73.887238,3.8213825,3702,2.7012427,3566,1203,33.7,1300,1426,656,184,5.2,0,3349,93.9,217,117407
117408,6037117408,4052431.763,8246.916114,36.032822,68.176956,4.8875856,2592,3.8580246,2404,774,32.2,872,851,515,166,6.9,17,1817,75.6,587,117408
117510,6037117510,3606833.321,8181.306061,20.868614,70.691071,4.8197651,3878,2.5786488,3807,1066,28,1137,1628,815,227,6,12,3048,80.1,759,117510
117520,6037117520,3505710.386,7772.563954,32.31649,69.256432,3.7873271,4322,4.6274872,4571,1438,31.5,1666,1875,834,196,4.3,25,3819,83.5,752,117520
117530,6037117530,5993764.562,9950.760445,22.245489,49.436211,4.2013311,6195,3.22841,5963,1559,26.1,1702,2423,1275,563,9.4,100,4424,74.2,1539,117530
119004,6037119004,9143478.717,12940.10396,4.5631943,23.446413,4.4088831,3398,5.8858151,2768,682,24.6,715,989,703,361,13,120,2257,81.5,511,119004
119201,6037119201,10248164.65,12948.10757,17.862007,33.408989,4.4921317,4325,4.6242776,4412,888,20.1,1098,1692,1065,557,12.6,96,3819,86.6,593,119201
119202,6037119202,10437023.76,16864.12433,11.627418,26.913372,4.6925569,4895,8.1716032,4766,1052,22.1,1284,1658,1157,667,14,49,4149,87.1,617,119202
119310,6037119310,4615163.007,10049.05078,12.755716,44.33213,5.6896038,3893,2.5687132,3931,686,17.5,776,1622,838,695,17.7,69,2360,60,1571,119310
119341,6037119341,3512711.18,8359.542262,13.946902,44.884956,4.9116759,2670,7.4906368,2750,438,15.9,500,1024,689,537,19.5,53,1825,66.4,925,119341
119801,6037119801,6590353.771,11988.80211,5.868989,7.0806513,4.0883074,2608,3.8343558,2556,545,21.3,620,891,642,403,15.8,72,1949,76.3,607,119801
120010,6037120010,6087626.434,10236.16122,9.4589748,44.42852,4.5091591,2617,3.8211694,2700,645,23.9,689,1054,679,278,10.3,9,2066,76.5,634,120010
120020,6037120020,5737369.794,12182.62746,31.462141,58.485641,5.1052089,3945,5.0697083,4359,986,22.6,1128,1662,1099,470,10.8,0,3096,71,1263,120020
120030,6037120030,4065310.822,8102.207088,25.6,63.360001,4.2688909,2448,16.339869,2614,758,29,800,914,690,210,8,22,2291,87.6,323,120030
120104,6037120104,4885243.288,10176.55229,18.368258,54.658939,4.2154565,2308,25.996534,2375,570,24,619,826,629,301,12.7,66,1450,61.1,925,120104
120105,6037120105,5929585.808,15758.59053,25.474154,50.725178,6.5887852,2645,22.684311,2691,594,22.1,672,924,659,436,16.2,83,2114,78.6,577,120105
120107,6037120107,2231008.495,6075.28675,30.107258,68.346222,5.3057919,4222,4.7370915,4044,1409,34.8,1565,1497,692,290,7.2,38,3414,84.4,630,120107
121010,6037121010,21950722.97,19497.91067,11.674055,28.47794,5.0024886,5243,9.5365248,5277,933,17.7,1106,1940,1488,743,14.1,30,3272,62,2005,121010
121020,6037121020,8874538.578,13130.16941,13.536287,35.471596,4.6000686,3626,5.5157199,3661,782,21.4,896,1341,1019,405,11.1,18,2280,62.3,1381,121020
121101,6037121101,5082880.938,10732.45736,10.549872,24.552429,4.4064746,3088,9.7150259,3191,533,16.7,653,1197,1045,296,9.3,30,2302,72.1,889,121101
121102,6037121102,81152096,37632.86642,11.287398,38.123299,5.9889278,2273,21.99736,2271,477,21,518,719,630,404,17.8,42,1080,47.6,1191,121102
121210,6037121210,21817534.97,18371.98913,3.5081744,21.968664,4.9077182,3109,6.4329367,2922,568,19.4,664,934,737,587,20.1,71,2133,73,789,121210
121802,6037121802,10232438.89,14912.8139,20.280405,41.408543,5.482193,3017,13.258204,3026,613,20.3,750,1129,843,304,10,31,2149,71,877,121802
122120,6037122120,7747578.486,13365.76222,14.388186,43.333332,4.6121593,5342,3.743916,4692,1070,22.8,1189,1716,1145,642,13.7,82,3693,78.7,999,122120
122122,6037122122,11114633.4,15332.01703,25.747824,74.933739,5.1802945,2556,15.649452,2507,844,33.7,876,817,546,268,10.7,19,2190,87.4,317,122122
122410,6037122410,7609489.69,11117.46251,23.480333,49.284863,5.5833654,3615,2.7662518,3949,920,23.3,1024,1527,1073,325,8.2,48,3229,81.8,720,122410
122420,6037122420,9285646.479,12386.80448,11.513945,39.143425,4.7034764,5077,7.8786683,5113,1165,22.8,1282,2227,1136,468,9.2,53,4229,82.7,884,122420
123010,6037123010,10933643.69,13636.39431,19.450859,54.323837,4.9858556,4112,2.4319067,3948,1034,26.2,1110,1390,1011,437,11.1,52,3329,84.3,619,123010
123103,6037123103,9712010.118,13419.05321,13.407525,30.36566,4.3985338,3997,22.516888,3917,675,17.2,758,1676,1093,390,10,57,1821,46.5,2096,123103
123104,6037123104,8413572.184,11537.86478,17.332218,38.511395,5.5889425,4565,6.5717416,4393,875,19.9,911,1743,1215,524,11.9,27,2333,53.1,2060,123104
123203,6037123203,6324538.126,12755.87296,17.15032,62.710388,4.1962776,3089,9.7118807,2982,689,23.1,806,1234,683,259,8.7,31,2133,71.5,849,123203
123204,6037123204,3489507.862,7926.03456,24.539701,40.880322,4.6836481,3281,3.0478513,3399,506,14.9,628,1595,965,211,6.2,0,2478,72.9,921,123204
123206,6037123206,6488594.389,10269.80715,28.15325,54.326302,5.3763442,2289,4.3687201,2371,492,20.8,607,888,571,305,12.9,40,1975,83.3,396,123206
123301,6037123301,14029676.38,17682.86309,17.004961,34.844383,4.3930335,4302,16.271502,4068,519,12.8,542,1689,1129,708,17.4,55,1480,36.4,2588,123301
123303,6037123303,6817488.25,13030.05716,20.309206,39.529163,5.0947866,2996,20.026703,3029,561,18.5,660,1324,677,368,12.1,0,1683,55.6,1346,123303
123304,6037123304,9461746.252,13423.34668,23.837589,42.43615,6.6129961,4467,6.7159166,4499,825,18.3,968,1092,1177,1262,28.1,208,2066,45.9,2433,123304
123410,6037123410,5350547.048,9501.506577,14.270613,35.015858,5.3972106,3826,7.8410873,3503,796,22.7,934,1543,694,332,9.5,55,1455,41.5,2048,123410
